,fold 1,fold 2,fold 3,fold 4,fold 5
baseline,0.8851222378459942,0.9312165964485957,0.9602345357463508,0.9514009396181607,0.8845384487266108
+superpixel,0.8897536115610304,0.9353302905650198,0.9613336599984509,0.9615290472632694,0.898055716070469
+filtered,0.8913023399829302,0.9388898872001596,0.9616421040546597,0.964346144869511,0.899257795858247
phase 1,0.8939603055273792,0.9400656575610484,0.9622740824357122,0.9644350431610648,0.9001571589559704
phase 2,0.9099690908012628,0.950949291570075,0.9683896368717501,0.97135344881116,0.905347686430453
phase 3,0.9137937334237364,0.9528770589990077,0.9689843226599456,0.9722686568182436,0.9059743491312224
